id,dam_name,geo_region,res_sed_rate_m3,drainage_sqkm,year_comp,utm_x,utm_y,year,stor_cap_m3,2020,%  capacity remaining
707,MAMMOTH POOL,SN,96.74021986,2584.82,21916,826410.8623,4136718.979,1960,151718286,141344634,93.16255656
708,MAMMOTH RES,SN,96.74021986,0,1/1/1851,661771.3822,4298058.853,1851,141850.43,141850.43,100
709,MANHATTAN CREEK,SN,96.74021986,3.44,18994,686092.8005,4304329.429,1952,135683.02,115368.6168,85.02804314
711,MARK EDSON,SN,96.74021986,40.4,22647,707831.9098,4308572.417,1962,24669640,24440842.36,99.07255381
722,MCCARTY,SN,96.74021986,1.48,13881,702756.8062,4211086.661,1938,114713.826,103550.5594,90.26859538
724,MCCLURE LAKE,SN,96.74021986,1.55,21916,825460.7961,4172256.256,1960,257797.738,248909.7216,96.55232956
728,MCKAYS PT DIVERSN,SN,96.74021986,430.38,32509,737055.8623,4234966.919,1989,2590312.2,2176057.223,84.0075271
729,MCMAHON,SN,96.74021986,47.14,20821,747155.6615,4176024.475,1957,641410.64,435626.0689,67.91687597
731,MCSWAIN,SN,96.74021986,2685.83,24108,737331.6839,4169812.62,1966,12001779.86,6136683.289,51.13144351
732,MEADOW LAKE,SN,96.74021986,4.27,1/1/1864,715407.4854,4364313.787,1864,6081066.26,6016429.87,98.93708789
733,MEADOW LAKE,SN,96.74021986,14.25,1097,763442.5401,4276523.56,1903,6364767.12,6203835.898,97.47153009
735,MEDLEY LAKES,SN,96.74021986,8.7,8402,748602.1298,4304934.708,1923,6599128.7,6517165.729,98.75797283
740,MERCED FALLS,SN,96.74021986,2693.6,367,736108.6837,4155894.739,1901,764758.84,65537.14621,8.569648728
744,METZGER,SN,96.74021986,2.59,20455,754888.0719,4178111.077,1956,92511.15,78277.79277,84.61444136
747,MID COOPERSTOWN,SN,96.74021986,2.31,17168,717028.5152,4180729.746,1947,111013.38,96063.2579,86.53304485
748,MID LINDSEY LAKE,SN,96.74021986,0.34,1/1/1870,703896.2756,4365113.796,1870,127048.646,122145.7043,96.14089417
749,MIDDLE FORK,SN,96.74021986,73.82,14246,723458.2741,4251425.342,1939,2096919.4,1604885.533,76.53539438
750,MIDDLE LAKE,SN,96.74021986,1.42,19360,781279.9701,4115080.536,1953,91277.668,82609.73716,90.50377707
756,MILTON DIVERSION,SN,96.74021986,107.74,10228,707878.6035,4377252.726,1928,333040.14,182927.3714,54.92652369
758,MINE RUN,SN,96.74021986,1.81,28856,685703.8451,4233441.523,1979,46872.316,40724.1742,86.8832131
759,MINERS RANCH,SN,96.74021986,1.94,22647,632691.31,4373747.382,1962,1124935.584,1113953.318,99.02374265
762,MOCCASIN LOWER,SN,96.74021986,67.08,10959,737245.4669,4188136.272,1930,622908.41,308565.0095,49.53617651
766,MOKELUMNE HILL,SN,96.74021986,0.03,26665,700078.3423,4242482.257,1973,64141.064,64002.06801,99.78329641
767,MONO CREEK DIV,SN,96.74021986,238.8,9863,854599.8979,4142129.856,1927,55506.69,31329.61727,56.44295719
773,MORNING STAR RES,SN,96.74021986,4.66,1/1/1870,694025.423,4334689.567,1870,1467843.58,1400808.295,95.43307707
778,MOUNTAIN KING,SN,96.74021986,3.78,13881,701956.7285,4207920.698,1938,177621.408,150271.2869,84.60201311
779,MT STONEMAN,SN,96.74021986,0.04,13516,660883.004,4284718.109,1937,40704.906,40381.3788,99.20518869
785,MURPHYS AFTERBAY,SN,96.74021986,7.25,19360,723751.974,4224962.839,1953,49339.28,24902.14791,50.47124302
786,MURPHYS FOREBAY,SN,96.74021986,0.01,19360,724915.4555,4225180.076,1953,66608.028,66542.29167,99.9013087
787,MURPHYS WW,SN,96.74021986,0.26,29221,722756.0028,4213274.072,1980,172687.48,171663.5913,99.40708571
796,NEV CITY RAW WAT,SN,96.74021986,0.08,29221,672879.7867,4345854.087,1980,65374.546,65059.08072,99.51744937
797,NEW BASS LAKE,SN,96.74021986,0.78,28491,671794.2673,4283095.45,1978,918944.09,915712.5078,99.64833745
798,NEW BULLARDS BAR,SN,96.74021986,1245.79,25569,659744.2034,4361859.331,1919,1195984147,1184264046,99.02004546
799,NEW DRUM AFTERBAY,SN,96.74021986,31.08,24838,692131.6749,4347229.353,1968,420617.362,307312.4733,73.06224161
800,NEW EXCHEQUER,SN,96.74021986,2693.86,24473,741055.2534,4163256.188,1926,1272953424,1248672253,98.09253265
802,NEW SPICER MEADOW,SN,96.74021986,120.77,32509,762158.7904,4253518.094,1989,233128098,232755152.7,99.84002557
806,NIEGEL,SN,96.74021986,0.85,18629,675664.6378,4304831.423,1951,178854.89,173228.1579,96.8540239
808,NO 1 FOREBAY,SN,96.74021986,0.03,1/1/1896,811569.9551,4117999.33,1896,85110.258,84748.09141,99.57447363
809,NO 2 RESERVOIR,SN,96.74021986,157.99,4384,808994.9704,4127536.512,1912,207224.976,153683.8083,74.16278254
810,NO 3 FOREBAY,SN,96.74021986,0.05,2193,807777.8783,4128417.926,1906,24669.64,24118.75981,97.76697109
811,NO FORK DIVERSN,SN,96.74021986,72.52,32143,760680.5276,4258655.168,1988,148017.84,131404.9301,88.77641375
819,O SHAUGHNESSY,SN,96.74021986,1188.81,8402,782363.3487,4204748.994,1923,444053520,432926578.2,97.49423407
826,OROVILLE,SN,96.74021986,9342.13,24838,629464.3605,4378133.448,1968,4363537553,4333326729,99.30765295
832,PALEN,SN,96.74021986,27.45,18629,730945.0176,4392350.464,1951,180088.372,87342.91495,48.50003028
836,PARADISE,SN,96.74021986,22.43,20821,621905.8261,4412055.672,1957,14185043,14048499.9,99.03741498
837,PARDEE,SN,96.74021986,1489.25,10594,688119.5878,4236273.085,1929,259031220,252818321.8,97.60148673
838,PATTERSON,SN,96.74021986,1.32,21916,688476.7104,4283102.323,1960,431718.7,424041.9195,98.22180961
841,PATTERSON SEC 29,SN,96.74021986,0.65,22647,644122.3073,4321216.6,1962,113480.344,109870.352,96.8188394
857,PHILBROOK,SN,96.74021986,12.69,9498,630122.6642,4431990.784,1926,6389436.76,6273913.968,98.19197222
858,PHOENIX,SN,96.74021986,63.2,1/1/1880,734889.8882,4208801.497,1880,561234.31,139999.6451,24.94495483
866,PINE GROVE,SN,96.74021986,1.3,4019,662214.1952,4353582.804,1911,191189.71,177804.7755,92.99913446
867,PINE PEAK NO 4,SN,96.74021986,0.26,20090,701259.6146,4236033.991,1955,90044.186,88406.83771,98.18161686
880,PLYMOUTH EFFL,SN,96.74021986,0.85,32509,684361.5544,4279119.736,1989,230661.134,228075.4121,98.87899543
881,POE,SN,96.74021986,5050.5,21551,634392.0058,4407638.792,1959,1418504.3,789915.4285,55.68650222
886,PONDEROSA DIV,SN,96.74021986,280.5,22647,645927.7184,4378796.783,1962,5859039.5,5368190.326,91.62236107
887,POORE LAKE RES,SN,96.74021986,6.97,1,803982.9582,4246281.345,1900,1480178.4,1400427.817,94.61209653
888,PORTAL PH FOREBAY,SN,96.74021986,14.25,20090,848294.3149,4137231.141,1955,400881.65,324230.5168,80.87936097
895,PRESTON,SN,96.74021986,0.31,17899,680258.9053,4248492.277,1949,330573.176,328423.5647,99.34973208
896,PRESTON FOREBAY,SN,96.74021986,0,1/1/1892,681407.2086,4249258.237,1892,37004.46,37004.46,100
